dataset,n,capacity,algorithm,run1_ms,run2_ms,run3_ms,avg_ms,value
github-01,400,1000000,greedy,0.056,0.060,0.059,0.058,602021
github-01,400,1000000,dp,751.348,762.991,759.167,757.835,602022
github-01,400,1000000,backtrack,1113.298,1121.784,1111.810,1115.631,602022
github-02,800,1000000,greedy,0.112,0.121,0.114,0.116,603977
github-02,800,1000000,dp,1514.788,1530.603,1505.451,1516.947,603984
github-02,800,1000000,backtrack,9627.575,9642.465,9649.721,9639.920,603984
github-03,1000,1000000,greedy,0.162,0.160,0.160,0.161,605344
github-03,1000,1000000,dp,2004.706,1914.709,1911.157,1943.524,605344
github-03,1000,1000000,backtrack,19455.370,19516.732,19445.584,19472.562,605344
